City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
399,Dodge City,US,87.69,few clouds,37.7528,-100.0171,Windsor Inn & Suites
405,Ormara,PK,83.71,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
408,Kirakira,SB,84.33,few clouds,-10.4544,161.9205,SanBiz Lodge
411,Palmas Bellas,PA,78.26,overcast clouds,9.2319,-80.0867,Antigua Residencia Galván
413,Santa Rosa,PH,85.08,light rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
416,Touros,BR,75.7,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
421,Ahuimanu,US,87.51,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
425,Aransas Pass,US,88.99,clear sky,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
429,Kolokani,ML,83.77,overcast clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
433,Tupik,RU,77.77,broken clouds,54.4253,119.9327,Guest House Orkhideya
438,Mitsamiouli,KM,75.18,clear sky,-11.3847,43.2844,Foyer ADM
441,Pandan,PH,83.75,overcast clouds,14.0453,124.1694,Bonifacio Lodge
442,Talagang,PK,86.4,broken clouds,32.9297,72.4158,Sajid Iqbal Manzil
443,Hobo,CO,77.0,overcast clouds,2.5833,-75.45,PALMANOVA CONDOMINIO
444,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
447,Sao Jose Da Coroa Grande,BR,75.56,light rain,-8.8978,-35.1478,Crôa Mares Hotel
448,Dasoguz,TM,76.95,clear sky,41.8363,59.9666,Hotel Erik
457,Glendive,US,82.02,clear sky,47.1053,-104.7125,Super 8 by Wyndham Glendive
459,Hailar,CN,85.96,few clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
461,Kulhudhuffushi,MV,82.65,broken clouds,6.6221,73.07,Haajy Guest House 1
462,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
463,Bakel,SN,87.67,scattered clouds,14.905,-12.4568,Ablaye Diallo Bakel
464,Bloomfield,US,87.46,clear sky,40.8068,-74.1854,Troy Carroll
467,Mayo,US,84.36,few clouds,38.8876,-76.5119,Resorts Resource Group International
470,Solnechnyy,RU,86.04,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
475,Arlit,NE,83.37,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
476,Kavaratti,IN,82.0,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
479,Vershino-Darasunskiy,RU,77.95,clear sky,52.35,115.5167,
481,Westport,US,78.62,clear sky,41.1415,-73.3579,The Westport Inn
485,Amazar,RU,83.89,clear sky,53.858,120.875,Гостиничный Комплекс Уют
486,Sao Goncalo Do Amarante,BR,81.12,few clouds,-3.6072,-38.9683,Sunshine Inn
491,Cambridge,CA,76.01,broken clouds,43.3601,-80.3127,Cambridge Gateway Suites
492,Jining,CN,88.72,broken clouds,35.405,116.5814,Yunhe Star Hotel
496,Tynda,RU,82.18,clear sky,55.1667,124.7167,"Gostinitsa ""Tayezhnaya"""
497,San Policarpo,PH,83.62,moderate rain,12.1791,125.5072,Agapita M. Nicart
498,Salalah,OM,82.49,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
499,Nador,MA,75.45,overcast clouds,35.174,-2.9287,Hôtel La Giralda
500,Kokopo,PG,86.32,clear sky,-4.352,152.2633,Kokopo Beach Bungalow Resort
501,Ulaanbaatar,MN,75.33,few clouds,47.9077,106.8832,The Blue Sky Hotel and Tower
509,Ailigandi,PA,79.47,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
512,Binzhou,CN,89.1,clear sky,37.3667,118.0167,Hampton By Hilton Binzhou
515,Champerico,GT,82.08,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
518,Houma,US,80.01,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
525,Kampot,KH,80.65,overcast clouds,10.6167,104.1833,Two Moons Hotel
526,San Miguel,SV,76.44,broken clouds,13.4833,-88.1833,Excalibur
528,Pringsewu,ID,82.27,broken clouds,-5.3582,104.9744,Urban Style by Front One
529,Lunavada,IN,82.36,overcast clouds,23.1333,73.6167,Arunoday Hotel & Guest House
531,Qeshm,IR,87.69,few clouds,26.9581,56.2719,Qeshm Kavan Hotel
532,Muroto,JP,80.24,few clouds,33.2833,134.15,Oota Ryokan
534,Pemangkat,ID,83.62,overcast clouds,1.1667,108.9667,Ramah Kost KITA
535,Tecoanapa,MX,82.02,overcast clouds,16.5167,-98.75,Hotel Manglares
538,Isla Vista,US,89.38,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
539,Rosarito,MX,83.25,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
