City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
176,Khatanga,71.9667,102.5,51.82,59,98,14.79,overcast clouds
177,Jega,12.2175,4.3792,81.82,65,79,8.88,broken clouds
178,Aklavik,68.2191,-135.0107,81.34,31,16,13.62,few clouds
179,Aksay,47.26,39.87,66.42,48,15,11.01,few clouds
180,Hofn,64.2539,-15.2082,53.22,82,13,5.66,few clouds
181,Athens,37.9795,23.7162,85.15,38,0,11.99,clear sky
182,Airai,-8.9266,125.4092,60.94,94,61,3.38,broken clouds
183,Banihal,33.4167,75.2,69.42,92,86,3.44,overcast clouds
184,Lufilufi,-13.8745,-171.5986,87.58,72,8,19.15,clear sky
185,Peruibe,-24.32,-46.9983,61.18,95,11,4.97,few clouds
186,Loanda,-8.8368,13.2343,69.8,88,20,6.91,few clouds
187,Cayenne,4.9333,-52.3333,81.09,1,0,3.44,clear sky
188,Vila Velha,-20.3297,-40.2925,71.94,86,40,0.0,scattered clouds
189,Hamilton,39.1834,-84.5333,91.62,59,0,13.8,clear sky
190,Berezovyy,51.6667,135.7,81.3,53,33,3.09,scattered clouds
191,Hinton,53.4001,-117.5857,57.92,85,94,7.58,overcast clouds
192,Makinsk,52.6292,70.4169,51.89,70,31,4.27,scattered clouds
193,Namibe,-15.1961,12.1522,66.63,70,1,9.01,clear sky
194,Leningradskiy,69.3833,178.4167,44.76,78,96,4.9,overcast clouds
195,Beian,63.6559,9.5683,71.69,68,0,16.11,clear sky
196,Talnakh,69.4865,88.3972,52.21,57,39,1.72,scattered clouds
197,Antofagasta,-23.65,-70.4,58.28,89,29,7.78,scattered clouds
198,Zhangjiakou,40.81,114.8794,70.02,76,25,2.48,scattered clouds
199,Amparafaravola,-17.5833,48.2167,58.57,81,82,11.5,broken clouds
200,Neyshabur,36.2133,58.7958,80.04,23,0,4.5,clear sky
201,Mercedes,-34.6515,-59.4307,50.04,90,92,6.35,overcast clouds
202,Northam,51.0333,-4.2167,56.61,83,25,15.01,scattered clouds
203,Asyut,27.181,31.1837,84.38,30,0,4.76,clear sky
204,Surgut,61.25,73.4167,51.98,81,0,7.0,clear sky
205,Ngunguru,-35.6167,174.5,55.81,66,100,5.95,overcast clouds
206,Hildburghausen,50.4255,10.7318,55.78,95,4,2.39,clear sky
207,Hasaki,35.7333,140.8333,81.0,78,0,7.9,clear sky
208,Luba,3.4568,8.5547,77.29,81,66,2.93,broken clouds
209,Lompoc,34.6391,-120.4579,81.79,75,0,15.01,clear sky
210,Angoram,-4.0625,144.0661,80.37,85,75,3.22,broken clouds
211,Sumter,28.7086,-82.0831,84.97,90,100,6.89,overcast clouds
212,Japura,-0.3167,102.35,72.03,93,90,3.09,overcast clouds
213,Jishui,33.7333,115.4,83.44,70,97,6.22,overcast clouds
214,Ko Samui,9.5357,99.9357,82.71,78,100,21.85,light rain
215,Hami,42.8,93.45,83.32,29,100,19.3,overcast clouds
216,Rocha,-34.4833,-54.3333,52.77,93,73,13.51,broken clouds
217,Halifax,44.6453,-63.5724,75.09,65,87,21.85,overcast clouds
218,Tasiilaq,65.6145,-37.6368,35.76,87,87,5.75,overcast clouds
219,Yar-Sale,66.8333,70.8333,50.29,82,73,10.04,light rain
220,Nishihara,26.1842,127.7558,78.85,89,75,9.22,broken clouds
221,Constitucion,-35.3333,-72.4167,48.45,79,13,4.23,few clouds
222,Kalisz,51.7611,18.091,62.82,91,99,13.47,light rain
223,Samarai,-10.6167,150.6667,80.96,83,98,11.74,moderate rain
224,Chokurdakh,70.6333,147.9167,42.64,75,100,10.65,overcast clouds
225,Jumilla,38.4792,-1.325,69.53,80,75,3.78,broken clouds
226,Honningsvag,70.9821,25.9704,53.35,76,15,2.3,few clouds
227,Acandi,8.5063,-77.2778,79.09,90,99,3.71,overcast clouds
228,Ust-Kan,50.9276,84.761,44.49,87,6,3.53,clear sky
229,Harper,4.375,-7.7169,77.0,76,100,10.87,overcast clouds
230,Erzin,36.9559,36.2,72.59,89,5,1.34,clear sky
231,Umm Lajj,25.0213,37.2685,84.16,59,15,7.87,few clouds
232,Comodoro Rivadavia,-45.8667,-67.5,35.46,75,0,6.91,clear sky
233,Iberia,29.9502,-91.7507,78.98,83,75,3.44,light rain
234,Bud,39.447,-86.1758,90.82,53,22,9.4,few clouds
235,Hualmay,-11.0964,-77.6139,63.25,80,12,10.76,few clouds
236,Igrim,63.1906,64.4162,50.94,68,56,4.72,broken clouds
237,Faya,18.3851,42.4509,71.71,42,92,2.24,overcast clouds
238,Dinguiraye,11.3,-10.7167,69.35,96,100,4.29,moderate rain
239,Tornio,65.8481,24.1466,62.62,62,10,3.09,clear sky
240,Chimoio,-19.1164,33.4833,58.32,85,100,2.93,overcast clouds
241,Trapani,37.8333,12.6667,83.28,65,0,5.75,clear sky
242,Fraga,41.5229,0.3489,73.53,72,0,8.81,clear sky
243,Garhi Yasin,27.9069,68.511,92.55,54,42,6.76,scattered clouds
244,Middle Island,40.8843,-72.9373,84.83,79,0,19.57,clear sky
245,Kurilsk,45.2333,147.8833,56.25,83,9,5.93,clear sky
246,Salta,-24.7859,-65.4117,63.19,56,0,6.91,clear sky
247,Isangel,-19.55,169.2667,78.91,83,75,3.44,broken clouds
248,Staryy Nadym,65.6118,72.6842,48.4,58,75,7.85,broken clouds
249,Guangyuan,32.442,105.823,70.39,91,100,3.53,overcast clouds
250,Innisfail,-17.5333,146.0333,70.59,93,100,5.84,overcast clouds
251,Wanning,18.8003,110.3967,77.31,97,100,12.37,moderate rain
252,Fortuna,40.5982,-124.1573,61.93,83,100,4.0,overcast clouds
253,Olafsvik,64.8945,-23.7142,48.07,88,44,12.33,scattered clouds
254,Souillac,-20.5167,57.5167,68.38,77,40,13.8,light rain
255,Korablino,53.9164,40.0133,47.37,76,0,10.78,clear sky
256,La Ronge,55.1001,-105.2842,62.85,39,75,6.91,broken clouds
257,Mehamn,71.0357,27.8492,53.55,82,75,3.44,broken clouds
258,Manokwari,-0.8667,134.0833,81.1,69,25,1.19,scattered clouds
259,Joshimath,30.5667,79.5667,71.2,90,99,1.16,moderate rain
260,Burayevo,55.8407,55.4083,50.32,88,33,6.69,scattered clouds
261,Bodden Town,19.2833,-81.25,89.6,65,20,11.5,few clouds
262,Palmas Bellas,9.2319,-80.0867,80.02,86,100,1.63,overcast clouds
263,Dikson,73.5069,80.5464,33.33,93,100,6.13,overcast clouds
264,Dargaville,-35.9333,173.8833,56.43,70,100,5.73,overcast clouds
265,Port Moresby,-9.4431,147.1797,76.42,94,20,5.75,haze
266,Kirakira,-10.4544,161.9205,82.56,75,64,12.06,broken clouds
267,Porosozero,62.7191,32.727,65.41,71,5,4.72,clear sky
268,Batsfjord,70.6345,29.7185,58.78,58,21,12.66,few clouds
269,Talara,-4.5772,-81.2719,64.35,86,8,18.03,clear sky
270,Carballo,43.213,-8.691,65.62,90,11,2.95,few clouds
271,Provideniya,64.3833,-173.3,47.93,97,100,10.69,light rain
272,Locri,38.2414,16.2623,85.32,41,0,7.63,clear sky
273,Khandyga,62.6667,135.6,69.96,59,13,0.36,few clouds
274,Tabou,4.423,-7.3528,76.84,77,100,9.93,overcast clouds
275,Atar,20.5169,-13.0499,90.73,14,5,9.55,clear sky
276,Cap-Aux-Meules,47.3821,-61.8597,64.45,82,75,10.36,broken clouds
277,Zhireken,52.8249,117.3076,65.07,91,100,1.45,light rain
278,Codrington,-38.2667,141.9667,49.77,71,100,7.65,overcast clouds
279,Sitka,57.0531,-135.33,62.49,67,0,10.36,clear sky
280,Vardo,70.3705,31.1107,46.38,100,100,5.75,overcast clouds
281,Wajir,1.7471,40.0573,71.76,67,43,16.64,scattered clouds
282,Mount Isa,-20.7333,139.5,51.57,82,100,14.97,overcast clouds
283,Langsa,4.4683,97.9683,75.04,91,100,1.72,light rain
284,Laguna,38.421,-121.4238,94.32,29,0,11.5,clear sky
285,Chenghai,23.4632,116.768,78.71,94,75,8.95,broken clouds
286,Teixoso,40.3145,-7.4576,64.35,52,0,11.99,clear sky
287,Haicheng,40.8516,122.7475,72.97,93,98,8.7,overcast clouds
288,Clyde River,70.4692,-68.5914,32.23,100,100,5.75,light snow
289,Port Elizabeth,-33.918,25.5701,73.09,40,0,8.05,clear sky
290,Sembe,1.6481,14.5806,69.35,95,99,2.3,overcast clouds
291,Srednekolymsk,67.45,153.6833,63.19,38,8,13.82,clear sky
292,Vaitape,-16.5167,-151.75,78.98,68,23,22.37,few clouds
293,Ha Noi,21.0245,105.8412,80.6,87,90,7.47,overcast clouds
294,Vanimo,-2.6741,141.3028,80.8,83,90,5.66,overcast clouds
